epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,8090.45,1.14681,6.46851,1.1376,0.43232,0.44862,0.37755,0.28744,1.23299,9.9906,1.11122,0.0086932,0.0086932,0.0086932
68,8209.68,1.15087,6.50577,1.14154,0.47702,0.39149,0.38152,0.29398,1.22579,9.79002,1.10418,0.0086734,0.0086734,0.0086734
69,8332.87,1.14692,6.40938,1.13712,0.48156,0.38947,0.39586,0.30341,1.21215,9.78737,1.09127,0.0086536,0.0086536,0.0086536
70,8452.33,1.1463,6.44185,1.13495,0.44793,0.43287,0.4061,0.31098,1.21364,9.70717,1.09415,0.0086338,0.0086338,0.0086338
71,8572.75,1.14321,6.30756,1.13446,0.46589,0.43742,0.40876,0.31208,1.20515,9.77536,1.08989,0.008614,0.008614,0.008614
72,8692.58,1.14297,6.33193,1.1358,0.50984,0.40596,0.40781,0.31286,1.22512,9.73394,1.09963,0.0085942,0.0085942,0.0085942
73,8813.92,1.13468,6.33659,1.13407,0.47761,0.45731,0.40986,0.31429,1.20189,9.83743,1.09503,0.0085744,0.0085744,0.0085744
74,8932.63,1.12756,6.30085,1.13369,0.46139,0.41968,0.3712,0.2846,1.20135,10.0608,1.08771,0.0085546,0.0085546,0.0085546
75,9052.25,1.12686,6.2413,1.12674,0.44473,0.4157,0.36045,0.27577,1.19539,10.1002,1.08429,0.0085348,0.0085348,0.0085348
76,9173.97,1.12741,6.16734,1.13052,0.49745,0.37318,0.37304,0.28448,1.19463,10.1743,1.08723,0.008515,0.008515,0.008515
77,9292.65,1.12909,6.23526,1.12807,0.42459,0.44849,0.38082,0.2921,1.19727,10.1975,1.08824,0.0084952,0.0084952,0.0084952
78,9412,1.13029,6.19927,1.12878,0.48046,0.41967,0.38157,0.2958,1.19456,10.1657,1.08747,0.0084754,0.0084754,0.0084754
79,9531.14,1.11778,6.18153,1.12346,0.45518,0.45,0.38128,0.29362,1.19176,10.1863,1.08414,0.0084556,0.0084556,0.0084556
80,9651.07,1.13909,6.29068,1.1343,0.46997,0.43208,0.3844,0.29639,1.18294,10.1687,1.0836,0.0084358,0.0084358,0.0084358
81,9771.17,1.11908,6.16509,1.12737,0.49129,0.43842,0.38393,0.29747,1.17338,10.0669,1.07291,0.008416,0.008416,0.008416
82,9890.41,1.11366,6.14593,1.12873,0.48786,0.45525,0.38753,0.299,1.18543,10.031,1.0836,0.0083962,0.0083962,0.0083962
83,10012.4,1.1057,6.13825,1.12224,0.53249,0.41493,0.3943,0.30411,1.17338,9.98204,1.07938,0.0083764,0.0083764,0.0083764
84,10131.6,1.10649,6.09143,1.11871,0.4976,0.45804,0.39424,0.30448,1.17819,10.0165,1.07977,0.0083566,0.0083566,0.0083566
85,10253,1.10918,6.0191,1.11641,0.50642,0.42312,0.3877,0.30052,1.18078,10.0865,1.07908,0.0083368,0.0083368,0.0083368
